ABE_Name;BE_Name;Attribute_Name;Documentation;;;;
;;serviceState;"This is an enumerated integer that defines the availability and usage (i.e., the service state) of this LogicalResource. Its values are:

0: Unknown

1: In Service

2: Out of Service

3: Testing

4: In Maintenance

5: Not Available

6: Not Applicable

This is an optional attribute.";;;;
;;usageState;"This is an enumerated integer that defines the current usage of the object. It includes the following values:

0: Unknown

1: Not Installed

2: Installed

3: Inactive

4: Idle

5: Active, but able to communicate

6: Busy (Active and unable to communicate)

Value 2 means that the object is installed (or otherwise activated) but no other information about its state is available. Values 3-6 imply that the object is Installed, and provide further information as to its state.

This is an optional attribute.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
Logical Resource ABE.Converged Network ABE;;;;;;;
;ForwardingRelationshipEncapsulation;;"The ForwardingRelationshipEncapsulation (FRE) is bounded by two or more endpoints each of which may be associated with a TPEs. The FRE represents the enabled constrained potential for forwarding of information between those endpoints (i.e. to/from the associated TPEs) for a particular layer protocol (where the TPE must clearly have LayerTerminations (LTs) associated that operate with that layer protocol). Note that where the TPE is associated indirectly with a TopologicalLink (TL) the information from the FRE will be passed across the network via that TL and where the LT of the TPE is a layer protocol termination the information from the FRE will be prepared to transition layers of the network.

Each endpoint of the FRE has a specific role in the context of the FRE where the possible roles and the interpretation of the roles are goverened by the type of FRE. The types of FRE are equivalent to the types of SNC described in MTOSI SD1-36 (refer to SD1-36_SNCTypes for explanation of SNC Properties, SNC Parameters, unidirectional SNCs, Point-to-Multipoint SNC, Routing Constraints and Route Discovery).

An FRE may encompass a sequence of supporting FREs (which describe in more detail the route of the information comveyed by the FRE thorugh the network). The relationship is recursive such that a supporting FREs may itself be supported FREs (i.e. FREs supporting FREs supporting FREs). The FRE at the highest level of a recursion is referred to as top-level FRE. Note that a Call may have one or more parallel top-level Connection(s).

An FRE may be used to represent various planning states. In these planning states the FRE may have only partial values for associated TPE name etc.";;;;
;;deploymentActivityState;This attribute represents the activity state of the current deployment request (e.g. activate, modify, and deactivate). If there is no in-progress deployment request, then the activity state is INACTIVE.;;;;
;;deploymentState;"This attribute represents the state of provisioning of the forwarding relationship between the set of end points.

PARTIAL: Indicates that only part of the FRE has been activated in the network.

PENDING: Indicates that none of the FRE resources have been deployed.

COMPLETE: Indicates the FRE has been successfully deployed in all Network Elements and no further intervention is required.

Note that a COMPLETE FRE is not necessarily enabled to carry traffic or carrying traffic.";;;;
;;direction;This attribute represents the directionality of the FRE.;;;;
;;freType;"This attribute provides the name of the type of the FRE.

The type is an expression of the traffic flow and potential for flow (accounting for protection switching constructs etc) through the FRE between the EndPoints of the FRE.

This attribute essentially provides the name of the spec for the FRE. The FRE may have further specification details provided via other specification mechanisms.";;;;
;;isAlarmReporting;"This attribute identifies whether alarm reporting for this FRE is administratively enabled or disabled. 

True = alarm reporting is enabled; False = alarm reporting is disabled.";;;;
;;isFixed;"This attribute identifies whether the FRE can be deleted via the interface (isFixed = FALSE) or cannot be deleted (isFixed = TRUE). 

Where isFixed = TRUE attempts to delete the FRE by the OS will be rejected.

Where an FRE has a route (i.e. is known to traverse multiple NEs) all NFREs of the FRE must be fxed for the FRE to be fixed.";;;;
;;ituArcStateAndStatusList;"See R_TMF518_NRB_I_0001 and R_TMF518_NRB_I_0004. 

See supporting document SD1-8_encodingX731M3100...\..\Framework\SD\SD1-8_encodingX731M3100.pdf";;;;
;;layerProtocolName;"Provides the name and potentially additional information such as version number for the protocol/layer that the FRE supports. Syntax and semantic to be specified.

Note: allowed value examples: “X2”, “LR Optical Channel”.";;;;
;;transmissionParameterList;A list of specific parameters related to the layer of the FRE.;;;;
;;wasRoutedByNetwork;"This attribute indicates if the current route of the FRE was computed by the managed system (i.e. ""the network"", all capabilities below the interface that defines the perspectiveof managed system) or not (e.g. the route was provided over an interface by a client EMS). 

If rerouting is allowed, this attribute identifies whether the routing was carried out by ""the network"" or not.

If there is no network routing capability the attribute should be set to False.";;;;
;;isOperational;This attribute is used to define the operational status of the object, and is implemented as a Boolean: TRUE means that the object is currently operational, and FALSE means that the object is not currently operational.;;;;
;;lrStatus;"This is an enumerated integer whose value indicates the current status of the object. The following values are defined:

0: Unknown

1: OK

2: Initializing

3: Starting

4: Paused

5: Stopping

6: Stopped

7: Degraded

8: Stressed 

9: Predicted Failure

10: Error - General

11: Error - Non Recoverable

12: Not Installed or Not Present

13: In Maintenance

14: Unable To Contact

15: Lost Communications

Stopped indicates that the LogicalResource is known to still exist, but it is no longer operational. However, it has not failed.

Stressed indicates that the LogicalResource is functioning, but needs attention (e.g., it may be overheating, or overloaded in some way). This is similar to Predicted Failure, which indicates that this LogicalResource is functioning properly, but is predicting a failure in the near future.

In Maintenance indicates that this LogicalResource is being configured, maintained, or otherwise administered and is NOT available for service.

Unable To Contact indicates that the monitoring system has knowledge of this LogicalResource but has never been able to establish communications with it. In contrast, Lost Commmunications indicates that the LogicalResource has been contacted successfully in the past and is known to still exist; however, it is currently unreachable.

This is an optional attribute.";;;;
;;serviceState;"This is an enumerated integer that defines the availability and usage (i.e., the service state) of this LogicalResource. Its values are:

0: Unknown

1: In Service

2: Out of Service

3: Testing

4: In Maintenance

5: Not Available

6: Not Applicable

This is an optional attribute.";;;;
;;usageState;"This is an enumerated integer that defines the current usage of the object. It includes the following values:

0: Unknown

1: Not Installed

2: Installed

3: Inactive

4: Idle

5: Active, but able to communicate

6: Busy (Active and unable to communicate)

Value 2 means that the object is installed (or otherwise activated) but no other information about its state is available. Values 3-6 imply that the object is Installed, and provide further information as to its state.

This is an optional attribute.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;FreConnectionless;;Package of attributes that relate to preservation of information flow identifiers and other flow control properties across the FRE.;;;;
;;flowIdentifier;"This parameter contains the internal identifier of the flow through TPEs and decomposed FREs.

An example of a flow identifier is the IVID which defines the value to be used for VID in S-TAGs pushed onto the frames at entry to the FD.

When the value of flowIdentifier on an FRE is not “null"", the value of the  corresponding flowIdentifier for all of the TPEs attached to this FRE and to any supporting FREs have the same value as the as the flowIdentifier on the FRE.

If the FRE is performing flowIdentifier swapping inside (as opposed to only at the edges), the flowIdentifier on the FRE is not meaningful (and set to “null”).

Note:

Since the flowIdentifier a TPE of the FRE has the same value as the flowIdentifer of the FRE (when the flowIdentifier of the FRE is not “null”) any attempt to set a different value for the flowIdentifier of the TPE will be rejected.";;;;
;;isEdgeFlowIdentifierPreserved;If True, the relevant flow identifier of particular information egressing the FRE at the boundary of the FRE is the same as the flowIdentifier used for that particular traffic at the ingress to the FRE. If flowIdentifier stacking or translation is applied within the FRE, the stacking/translation tables on all endpoints of the FRE will be set such that the above condition is satisfied for any flow.;;;;
;;isEdgePriorityPreserved;This attribute shall indicate whether the egress Priority in the frame header must be the same as the ingress Priority;;;;
;FreControlPlane;;Package of attributes that relate to delegated routing capability utilised during the construction and maintenance of the FRE such as that associated with a traditional control plane.;;;;
;;connectionSetupType;This attribute identifies the setup type of the FRE. It indicates whether the FRE has been established by UNI signalling (SC) or NMS operation (SPC, PC).;;;;
;;isUsingHomeRoute;This attribute indicates whether the Connection is currently using the home route or not.;;;;
;;maximumCost;This attribute defines a number that indicates the maximum cost allowed for an FRE. The cost of an FRE is calculated based on the cost of the supporting links. This link cost represents a vector of one or more metrics, each of which indicates the relative desirability of a particular link over another during path selection.;;;;
;;routeGroupLabel;This attribute represents the Route Group the FRE is associated to. When a target OS creates a Call with diverse Route Groups, it assigns a Route Group label (which may be a number) to each FRE. FREs in the same Route Group will be assigned the same value for routeGroupLabel. FREs in different Route Groups will be assigned different values for routeGroupLabel.;;;;
;;routingConstraintEffort;This attribute indicates the requested level of effort to meet the routing constraint when creating and when rerouting the FRE.;;;;
;MultiRouteManagement;;Where there are multiple routes available to the FRE this attribute package indicates the state of a particular Route.;;;;
;;includesResourcesUseByAnotherFre;This attribute indicates whether one (or more) of the component FREs of the route or TPEs  associated directly with an component FRE of the route is carrying traffic of another FRE, i.e. is involved in another route that is active, (True) or not (False).;;;;
;;isIntendedRoute;This attribute indicates whether this route is the intended (prefered) route of the FRE (True) or not (False).;;;;
;NetworkForwardingDomain;;"The NetworkForwardingDomain (NFD) object class represents the capacity to enable forwarding and potential for forwarding via ForwardingReleationshipEncapsulation (FRE) constructs. The NFD represents the capability to define a route for forwarding across the contained network. 

The NFD represents capability for one or more specific layerProtocols where the relevant boundaries for each layerProtocol coincide appropriately

It a grouping of zero or more:

- TPEs which represent access to the NFD

- subordinate NFDs which are a partition of its capacity (and hence completely contained)

- TLs between the grouped subordinate NFDs

The TPEs associated may terminate TopologicalLinks (TLs). NFD instances and TL instances together define the network topology.

New TPEs may be assigned to the NFD and TPEs may be unassigned from the NFD.

Note that the NFD object may be used to represent routing domains or other administrative domains. The domain groupings may be orthogonal.

The top level NFD corresponds to the whole network for the layerProtocols it includes.";;;;
;;ituArcStateAndStatusList;"See R_TMF518_NRB_I_0001 and R_TMF518_NRB_I_0004. 

See supporting document SD1-8_encodingX731M3100...\..\Framework\SD\SD1-8_encodingX731M3100.pdf";;;;
;;layerProtocolNameList;Each entry provides the name and potentially additional information such as version number for (one of) the protocol(s)/layer(s) that the NFD supports. Syntax and semantic to be specified.;;;;
;;nfdLevel;This attribute expresses the level  of the NFD in the hierarchy of NFDs;;;;
;;nfdRole;"This attribute identifies purpose for the grouping provided by the NFD.

The NFD could be:

- ROUTING_AREA

- FORWARDING_AREA

- ADMINISTRATIVE_AREA";;;;
;;nfdType;This attribute  provides the name of the type of the NFD. The type is an expression of the contained topology.;;;;
;;isOperational;This attribute is used to define the operational status of the object, and is implemented as a Boolean: TRUE means that the object is currently operational, and FALSE means that the object is not currently operational.;;;;
;;lrStatus;"This is an enumerated integer whose value indicates the current status of the object. The following values are defined:

0: Unknown

1: OK

2: Initializing

3: Starting

4: Paused

5: Stopping

6: Stopped

7: Degraded

8: Stressed 

9: Predicted Failure

10: Error - General

11: Error - Non Recoverable

12: Not Installed or Not Present

13: In Maintenance

14: Unable To Contact

15: Lost Communications

Stopped indicates that the LogicalResource is known to still exist, but it is no longer operational. However, it has not failed.

Stressed indicates that the LogicalResource is functioning, but needs attention (e.g., it may be overheating, or overloaded in some way). This is similar to Predicted Failure, which indicates that this LogicalResource is functioning properly, but is predicting a failure in the near future.

In Maintenance indicates that this LogicalResource is being configured, maintained, or otherwise administered and is NOT available for service.

Unable To Contact indicates that the monitoring system has knowledge of this LogicalResource but has never been able to establish communications with it. In contrast, Lost Commmunications indicates that the LogicalResource has been contacted successfully in the past and is known to still exist; however, it is currently unreachable.

This is an optional attribute.";;;;
;;serviceState;"This is an enumerated integer that defines the availability and usage (i.e., the service state) of this LogicalResource. Its values are:

0: Unknown

1: In Service

2: Out of Service

3: Testing

4: In Maintenance

5: Not Available

6: Not Applicable

This is an optional attribute.";;;;
;;usageState;"This is an enumerated integer that defines the current usage of the object. It includes the following values:

0: Unknown

1: Not Installed

2: Installed

3: Inactive

4: Idle

5: Active, but able to communicate

6: Busy (Active and unable to communicate)

Value 2 means that the object is installed (or otherwise activated) but no other information about its state is available. Values 3-6 imply that the object is Installed, and provide further information as to its state.

This is an optional attribute.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;RoutingParameters;;Package of routing parameters related to the fabric of the network exposed via TopologicalLink and NetworkForwardingDomain.;;;;
;;sharedRiskGroupList;This attribute specifies the shared risk that in general is considered against the physical environment. It is defined as a sequence of {risk type, and sequence of shared risk references (strings)}.;;;;
;TerminationPointEncapsulation;;"The TerminationPointEncapsulation (TPE) represents one or more functions that terminate/originate a signal that adapt a signal for use, and that enable a signal to propagate. Hence a TPE can represent the end point of a signal flow. The TPE can also represent the intermediate point of a signal flow.

A TPE is capable of encapsulating multiple transport functions (G.805 termination functions, adapters, points etc.) at many different layers where the encapsulated transport functions are all related to the same signal flow.  The encapsulated layers may be exposed via usage of instances of LayerTermination (LT).

The TPE deals equivalently with unidirectional and bidirectional flows.";;;;
;;isEquipmentProtected;This attribute indicates whether or not the TPE is supported by a protected Equipment.;;;;
;;tpeType;This attribute represents the name of the specification that describes the construction of the TPE emphasising for example the access to the TPE and whether it is associated with a physical port directly or not. Amongst other things this attribute would identify whether the TPE is a PTP, CTP or FTP.;;;;
;;isOperational;This attribute is used to define the operational status of the object, and is implemented as a Boolean: TRUE means that the object is currently operational, and FALSE means that the object is not currently operational.;;;;
;;lrStatus;"This is an enumerated integer whose value indicates the current status of the object. The following values are defined:

0: Unknown

1: OK

2: Initializing

3: Starting

4: Paused

5: Stopping

6: Stopped

7: Degraded

8: Stressed 

9: Predicted Failure

10: Error - General

11: Error - Non Recoverable

12: Not Installed or Not Present

13: In Maintenance

14: Unable To Contact

15: Lost Communications

Stopped indicates that the LogicalResource is known to still exist, but it is no longer operational. However, it has not failed.

Stressed indicates that the LogicalResource is functioning, but needs attention (e.g., it may be overheating, or overloaded in some way). This is similar to Predicted Failure, which indicates that this LogicalResource is functioning properly, but is predicting a failure in the near future.

In Maintenance indicates that this LogicalResource is being configured, maintained, or otherwise administered and is NOT available for service.

Unable To Contact indicates that the monitoring system has knowledge of this LogicalResource but has never been able to establish communications with it. In contrast, Lost Commmunications indicates that the LogicalResource has been contacted successfully in the past and is known to still exist; however, it is currently unreachable.

This is an optional attribute.";;;;
;;serviceState;"This is an enumerated integer that defines the availability and usage (i.e., the service state) of this LogicalResource. Its values are:

0: Unknown

1: In Service

2: Out of Service

3: Testing

4: In Maintenance

5: Not Available

6: Not Applicable

This is an optional attribute.";;;;
;;usageState;"This is an enumerated integer that defines the current usage of the object. It includes the following values:

0: Unknown

1: Not Installed

2: Installed

3: Inactive

4: Idle

5: Active, but able to communicate

6: Busy (Active and unable to communicate)

Value 2 means that the object is installed (or otherwise activated) but no other information about its state is available. Values 3-6 imply that the object is Installed, and provide further information as to its state.

This is an optional attribute.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;TopologicalLink;;"The TopologicalLink_ represents a communication relationship between network entities and indicates that information is intended to flow between those network entities. The TopologicalLink_ always represents a logical relationship. 

Similar to Link [5] of 3GPP and TopologicalLink of SID/MTOSI [7]";;;;
;;direction;This attribute represents the directionality of the TL.;;;;
;;isAlarmReporting;"This attribute identifies whether alarm reporting for this TL is administratively enabled or disabled. 

True = alarm reporting is enabled; False = alarm reporting is disabled.";;;;
;;ituArcStateAndStatusList;"See R_TMF518_NRB_I_0001 and R_TMF518_NRB_I_0004. 

See supporting document SD1-8_encodingX731M3100...\..\Framework\SD\SD1-8_encodingX731M3100.pdf";;;;
;;layerProtocolNameList;Each entry provides the name and potentially additional information such as version number for (one of) the protocol(s)/layer(s) that the TL supports. Syntax and semantic to be specified.;;;;
;;isOperational;This attribute is used to define the operational status of the object, and is implemented as a Boolean: TRUE means that the object is currently operational, and FALSE means that the object is not currently operational.;;;;
;;lrStatus;"This is an enumerated integer whose value indicates the current status of the object. The following values are defined:

0: Unknown

1: OK

2: Initializing

3: Starting

4: Paused

5: Stopping

6: Stopped

7: Degraded

8: Stressed 

9: Predicted Failure

10: Error - General

11: Error - Non Recoverable

12: Not Installed or Not Present

13: In Maintenance

14: Unable To Contact

15: Lost Communications

Stopped indicates that the LogicalResource is known to still exist, but it is no longer operational. However, it has not failed.

Stressed indicates that the LogicalResource is functioning, but needs attention (e.g., it may be overheating, or overloaded in some way). This is similar to Predicted Failure, which indicates that this LogicalResource is functioning properly, but is predicting a failure in the near future.

In Maintenance indicates that this LogicalResource is being configured, maintained, or otherwise administered and is NOT available for service.

Unable To Contact indicates that the monitoring system has knowledge of this LogicalResource but has never been able to establish communications with it. In contrast, Lost Commmunications indicates that the LogicalResource has been contacted successfully in the past and is known to still exist; however, it is currently unreachable.

This is an optional attribute.";;;;
;;serviceState;"This is an enumerated integer that defines the availability and usage (i.e., the service state) of this LogicalResource. Its values are:

0: Unknown

1: In Service

2: Out of Service

3: Testing

4: In Maintenance

5: Not Available

6: Not Applicable

This is an optional attribute.";;;;
;;usageState;"This is an enumerated integer that defines the current usage of the object. It includes the following values:

0: Unknown

1: Not Installed

2: Installed

3: Inactive

4: Idle

5: Active, but able to communicate

6: Busy (Active and unable to communicate)

Value 2 means that the object is installed (or otherwise activated) but no other information about its state is available. Values 3-6 imply that the object is Installed, and provide further information as to its state.

This is an optional attribute.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;TrafficMappingTable;;The TrafficMappingTable provides the rules for complex manipulation of components flows within the flow dealt with by the instance of LayerTermination. An example of an application is for Etherenet where a particular flow may require CTAG subflow manipulation.;;;;
;TrafficMappingTableRow;;The TrafficMappingTableRow provides a specific rule for one manipulation, of a set of manipulations, of one or more components flows within the flow dealt with by the instance of LayerTermination.;;;;
;;priority;This attribute states the traffic priority for the vlanRange to which this row applies.;;;;
;;trafficClass;This attribute states the traffic class for the priority and vlanRange to which this row applies.;;;;
;;vlanIdRange;This attribute states the VLAN ID or VLAN ID range to which the row applies.;;;;
Logical Resource ABE.Management Information ABE;;;;;;;
Management Information ABE.Accounting ABE;;;;;;;
;AccountingInfo;;"AccountingInfo is the base class for defining how accounting is performed for a particular ManagedEntity. AccountingInfo keeps track of how a Resource or Service is being used (both quantity as well as by which PartyRole).

AccountingInfo is associated with a particular Resource or Service using the DescribedByMgmtInfo aggregation. Subclasses of the Accounting class define the detailed characteristics and behavior of how accounting is performed. Accounting is implemented by associating the parent of this class, ManagementInfo, with the appropriate ManagementMethodEntity class through a combination of the DescribedByMgmtInfo and the MgmtInfoObtainedBy aggregation.";;;;
;;mgmtInfoValidFor;This attribute defines the time period that this management information is valid for. A TimePeriod is a complex datatype, that has a starting time and an ending time.;;;;
;;retrievalMethodCurrent;"This is an enumerated integer that defines the particular type of method that is currently being used to retrieve the management information. Values include:

0: Unknown

1: None

2: CLI

3: SNMP

4: TL1

5: CMIP

6: RMON

7: Proprietary

None could mean that this ManagedEntity performs a set function and is not configurable, as well as mean that this ManagedEntity is not configurable except by the factory.";;;;
;;retrievalMethodsSupported;"This is an array of integers that define the different means of retrieving management methods that are supported by this object. Values include:

0: Unknown

1: None

2: CLI

3: SNMP

4: TL1

5: CMIP

6: RMON

7: Proprietary

None could mean that this ManagedEntity performs a set function and is not configurable, as well as mean that this ManagedEntity is not configurable except by the factory.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
Management Information ABE.Management Method ABE;;;;;;;
;CLIMethod;;This is an abstract base class for defining different types of CLI methods to perform various FCAPS functions.;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;DescribedMgmtInfoDetails;;This is an association class that defines the semantics of the DescribedByMgmtInfo aggregation. This class defines the specific semantics for different types of ManagementInfo, and how that information is obtained from the associated ManagedEntity. This enables different methods to be used to obtain different types of management information.;;;;
;;description;This is a string, and defines a textual free-form description of the object.;;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object.;;;;
;ManagementMethodEntity;;"This is an abstract base class for representing the different types of management methods that can be used to gather a particular type of management information. For example, this enables configuration setting classes to be defined as using CLI, while configuration monitoring classes could be defined as using a different method, such as SNMP.

The design of how management information is obtained uses this class to gather specific type of information, and the ManagementMethodEntity class to obtain the desired data using an appropriate method. This combination of class hierarchies enables different management methods (e.g., CLI vs. SNMP) to be used to gather different types of management data, and is unique to the SID information model.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;ProprietaryMethod;;;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;RMONMethod;;This is an abstract base class for defining different types of RMON methods to perform various FCAPS functions.;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;SNMPMethod;;This is an abstract base class for defining different types of SNMP methods to perform various FCAPS functions.;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;SupportedMgmtMethodDetail;;This is an association class, and defines the semantics of the SupportedMgmtMethods aggregation. This enables different management methods (e.g., CLI vs. SNMP) to be used to perform configuration versus monitoring functions.;;;;
;;description;This is a string, and defines a textual free-form description of the object.;;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object.;;;;
;;preferredConfigMethod;"This is an enumerated integer that defines the name of a class that identifies the name of the preferred ManagementMethod for performing configuration operations on the associated ManagedEntity. Values include:

0: Unknown

1: None

2: CLI

3: SNMP

4: TL1

5: CMIP

6: Proprietary

None could mean that this ManagedEntity performs a set function and is not configurable, as well as mean that this ManagedEntity is not configurable except by the factory.";;;;
;;preferredMonitorMethod;"This is an enumerated integer that defines the name of a class that identifies the name of the preferred ManagementMethod for performing monitoring operations on the associated ManagedEntity. Values include:

0: Unknown

1: None

2: CLI

3: SNMP

4: RMON

5: CMIP

6: TL1

7: Proprietary

None could mean that this ManagedEntity is not able to be monitored.";;;;
;;supportedMgmtMethods;This is an array of strings. Each string contains the name of a class that identifies the name of a supported ManagementMethod for this class.;;;;
;TL1Method;;This is an abstract base class for defining different types of TL1 methods to perform various FCAPS functions.;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
Management Information ABE.Performance Info ABE;;;;;;;
;PerformanceInfo;;"PerformanceInfo is the base class for all performance monitoring classes. Resource Performance is the act of collecting, correlating, consolidating, and validating various performance statistics and other operational characteristics of PhysicalResource, LogicalResource, CompoundResource, and Network entities. Service Performance is similar, except that it applies to CustomerFacingServices and ResourceFacingServices. Both of these entities also include specific subclasses for conducting network performance assessment against planned goals, performs various aspects of trend analysis, including error rate and cause analysis and Resource degradation.

Different types of performance indicators are associated with a particular Resource or Service using the DescribedByMgmtInfo aggregation. Performance information Subclasses of this class define the detailed characteristics and behavior of this class. Performance monitors are reported by associating the parent of this class, ManagementInfo, with the ManagementMethodEntity class through a combination of the DescribedByMgmtInfo and the MgmtInfoObtainedBy aggregation.";;;;
;;mgmtInfoValidFor;This attribute defines the time period that this management information is valid for. A TimePeriod is a complex datatype, that has a starting time and an ending time.;;;;
;;retrievalMethodCurrent;"This is an enumerated integer that defines the particular type of method that is currently being used to retrieve the management information. Values include:

0: Unknown

1: None

2: CLI

3: SNMP

4: TL1

5: CMIP

6: RMON

7: Proprietary

None could mean that this ManagedEntity performs a set function and is not configurable, as well as mean that this ManagedEntity is not configurable except by the factory.";;;;
;;retrievalMethodsSupported;"This is an array of integers that define the different means of retrieving management methods that are supported by this object. Values include:

0: Unknown

1: None

2: CLI

3: SNMP

4: TL1

5: CMIP

6: RMON

7: Proprietary

None could mean that this ManagedEntity performs a set function and is not configurable, as well as mean that this ManagedEntity is not configurable except by the factory.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
Management Information ABE.Resource State ABE;;;;;;;
;ResourceStateInfo;;"ResourceStateInfo is an abstract base class for representing different types of management information that describes the state of a particular Resource.

Subclasses of this class include classes to represent Faults, Outages, Alarms, the usage of this Resource, and its current operational state.";;;;
