ABE_Name;BE_Name;Attribute_Name;Documentation;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;AtomicMarketSegmentCharacteristic;;A type of MarketSegmentCharacteristic that does not have any subordinate MarketSegmentCharacteristics, that is, an AtomicMarketSegmentCharacteristic is a leaf-level MarketSegmentCharacteristic.;;;;
;;derivationFormula;A rule or principle represented in symbols, numbers, or letters, often in the form of an equation used to derive the value of a characteristic value.;;;;
;;description;A narrative that explains what the characteristic is.;;;;
;;extensible;An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for an Entity.;;;;
;;ID;A unique identifier for the MarketSegmentCharacteristic.;;;;
;;maxCardinality;The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.;;;;
;;minCardinality;The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;unique;"An indicator that specifies if a value is unique for the specification.

Possible values are; ""unique while value is in effect"" and ""unique whether value is in effect or not""";;;;
;;validFor;The period of time for which a characteristic is applicable.;;;;
;;valueType;A kind of value that the characteristic can take on, such as numeric, text, and so forth.;;;;
;CompositeMarketSegment;;A type of MarketSegment that is formed by aggregating other MarketSegments, which may be Composite or Atomic MarketSegments.;;;;
;;category;A classification of MarketSegments because they share common characteristics. For example a vertical or horizontal MarketSegment. Vertical MarketSegments put a PartyRole in a single segment, while a PartyRole can exist in multiple horizontal MarketSegments;;;;
;;subCategory;A further classification of MarketSegments because they share common characteristics. For example, a vertical category MarketSegment may be further categorized as consumer, business, or carrier.;;;;
;;dateCreated;The date that the PartyProfile was created.;;;;
;;description;A narrative that explains what the PartyProfile is.;;;;
;;ID;A unique identifier for the PartyProfile.;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;ID;Unique identifier of the Segment;;;;
;;respectsThreshold;The attribute respectsThreshold specifies if the Segment respects the lower and upper size defined by the SegmentSpecification.;;;;
;;validFor;The period during which th Segment is valid.;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;CompositeMarketSegmentCharacteristic;;A type of MarketSegmentCharacteristic that is formed by aggregating other MarketSegmentCharacteristic, which may be Composite or Atomic MarketSegmentCharacteristic.;;;;
;;derivationFormula;A rule or principle represented in symbols, numbers, or letters, often in the form of an equation used to derive the value of a characteristic value.;;;;
;;description;A narrative that explains what the characteristic is.;;;;
;;extensible;An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for an Entity.;;;;
;;ID;A unique identifier for the MarketSegmentCharacteristic.;;;;
;;maxCardinality;The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.;;;;
;;minCardinality;The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;unique;"An indicator that specifies if a value is unique for the specification.

Possible values are; ""unique while value is in effect"" and ""unique whether value is in effect or not""";;;;
;;validFor;The period of time for which a characteristic is applicable.;;;;
;;valueType;A kind of value that the characteristic can take on, such as numeric, text, and so forth.;;;;
;MarketSegment;;A grouping of Parties, GeographicAreas, SalesChannels, and so forth. MarketSegments are the target of MarketingCampaigns, ProductOfferings, ProductPromotions, ProductPlacements, and ProductPrograms from both internal and external (Competitors, and other Providers) perspective.;;;;
;;category;A classification of MarketSegments because they share common characteristics. For example a vertical or horizontal MarketSegment. Vertical MarketSegments put a PartyRole in a single segment, while a PartyRole can exist in multiple horizontal MarketSegments;;;;
;;subCategory;A further classification of MarketSegments because they share common characteristics. For example, a vertical category MarketSegment may be further categorized as consumer, business, or carrier.;;;;
;;dateCreated;The date that the PartyProfile was created.;;;;
;;description;A narrative that explains what the PartyProfile is.;;;;
;;ID;A unique identifier for the PartyProfile.;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;ID;Unique identifier of the Segment;;;;
;;respectsThreshold;The attribute respectsThreshold specifies if the Segment respects the lower and upper size defined by the SegmentSpecification.;;;;
;;validFor;The period during which th Segment is valid.;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;MarketSegmentCharacteristic;;A characteristic quality or distinctive feature of a MarketSegment. The characteristic can be take on a discrete value, such as sex, can take on a range of values, (for example, household income of $50,000 - $100,000), or can be derived from a formula (for example, number of households = number of customer party roles).;;;;
;;derivationFormula;A rule or principle represented in symbols, numbers, or letters, often in the form of an equation used to derive the value of a characteristic value.;;;;
;;description;A narrative that explains what the characteristic is.;;;;
;;extensible;An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for an Entity.;;;;
;;ID;A unique identifier for the MarketSegmentCharacteristic.;;;;
;;maxCardinality;The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.;;;;
;;minCardinality;The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;unique;"An indicator that specifies if a value is unique for the specification.

Possible values are; ""unique while value is in effect"" and ""unique whether value is in effect or not""";;;;
;;validFor;The period of time for which a characteristic is applicable.;;;;
;;valueType;A kind of value that the characteristic can take on, such as numeric, text, and so forth.;;;;
;MarketSegmentCharacteristicValue;;A number or text that can be assigned to a MarketSegmentCharacteristic.;;;;
;;fromValue;The low range value that a characteristic can take on.;;;;
;;isDefault;Indicates if the value is the default value for a characteristic.;;;;
;;rangeInterval;"An indicator that specifies the inclusion or exclusion of the valueFrom and valueTo attributes.

Possible values are ""open"", ""closed"", ""closedBottom"" and ""closedTop"".";;;;
;;toValue;The upper range value that a characteristic can take on.;;;;
;;unitOfMeasure;A length, surface, volume, dry measure, liquid measure, money, weight, time, and the like. Iin general, a determinate quantity or magnitude of the kind designated, taken as a standard of comparison for others of the same kind, in assigning to them numerical values, as 1 foot, 1 yard, 1 mile, 1 square foot.;;;;
;;validFor;The period of time for which a value is applicable.;;;;
;;value;A discrete value that the characteristic can take on.;;;;
;;valueType;A kind of value that the characteristic can take on, such as numeric, text, and so forth.;;;;
Market & Sales Domain.Competitor ABE;;;"·         The Competitor ABE identifies other providers who compete in the same market segments, accumulates intelligence about the competitors, including products (price, Key Performance Indicators and so forth).

The Competitor ABE provides information relative to the analysis of intelligence pertaining to an enterprise’s competitors.  It is crucial to understand who the competitors are, what their products are, what the target markets for their products are, and how successful their products are.

The Competitor ABE and Competitor entities also comprise the following level-two ABEs

Competitor Intelligence

A variety of Product domain ABEs relative to Competitors";;;;
;CompetitiveTier;;A classification of a Competitor, such as by size, product lines offered, and so forth.;;;;
;;perspective;How the CompetitiveTier is viewed, such as vertical or horizontal.;;;;
;;perspectiveCharacteristic;A feature or quality that further describes the perspective recognizable, such as consumer, business, carrier, size, usage, customer, and so forth. For example, a consumer vertical market perspective.;;;;
;;size;How big the Competitor is, such as small, medium, large, compared to other Competitors.;;;;
;Competitor;;A Party playing a PartyRole that offers ProductOfferings similar to the enterprise's ProductOfferings in a MarketSegment.;;;;
;;dateCreated;The date on which interest was first shown for the Competitor.;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;CompetitorMarketSegment;;A MarketSegment served by a Competitor.;;;;
;;plannedMarketEntryDate;The date on which a Competitor plans to offer ProductOfferings in a MarketSegment.;;;;
;;rank;The degree of importance or excellence of a Competitor in a MarketSegment relative to other Competitors in the MarketSegment.;;;;
;;validFor;The period during which the CompetitorMarketSegment information is applicable.;;;;
;CompetitorMarketSegmentSWOT;;Strength, Weakness, Opportunity, or Threat in a MarketSegment served by a Competitor.;;;;
;;description;A narrative that further details the strength, weakness, opportunity, or threat for a Competitor in a MarketSegment.;;;;
;CompetitorSWOT;;General (non-MarketSegment specific) Strength, Weakness, Opportunity, or Threat when compared to a Competitor.;;;;
;;description;A narrative that further details the strength, weakness, opportunity, or threat.;;;;
;CompetitorTier;;A hierarchical level into which a Competitor is placed.;;;;
;;description;A narrative that further details the Competitor's placement in a CompetitiveTier.;;;;
;SWOT;;A Strength, Weakness, Opportunity, Threat (SWOT) that an enterprise has when compared to a Competitor. SWOT analysis is a formal framework of identifying and framing organizational growth opportunities.;;;;
;;swotType;A category of organizational analysis, such as strength (S), weakness (W), opportunity (O), threat (T).;;;;
Competitor ABE.Competitor Intelligence ABE;;;;;;;
;AtomicCompIntelCharacteristic;;A type of CompIntelCharacteristic that does not have any subordinate CompIntelCharacteristics, that is, an AtomicCompIntelCharacteristic is a leaf-level CompIntelCharacteristic.;;;;
;;derivationFormula;A rule or principle represented in symbols, numbers, or letters, often in the form of an equation used to derive the value of a characteristic value.;;;;
;;description;A narrative that explains what the characteristic is.;;;;
;;extensible;An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for an Entity.;;;;
;;ID;A unique identifier for the CompetitorIntelCharacteristic.;;;;
;;maxCardinality;The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.;;;;
;;minCardinality;The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;unique;"An indicator that specifies if a value is unique for the specification.

Possible values are; ""unique while value is in effect"" and ""unique whether value is in effect or not""";;;;
;;validFor;The period of time for which a characteristic is applicable.;;;;
;;valueType;A kind of value that the characteristic can take on, such as numeric, text, and so forth.;;;;
;CompetitorIntelCharacteristic;;A characteristic quality or distinctive feature of a CompetitorIntelligence. The characteristic can be take on a discrete value, such as number of press releases, can take on a range of values, (for example, number customers within a MarketSegment (50,000 - 100,000), or can be derived from a formula (for example, number of products offered in a MaketSegment = the number of the Competitor's ProductOfferrng instances associated to the MarketSegment).;;;;
;;derivationFormula;A rule or principle represented in symbols, numbers, or letters, often in the form of an equation used to derive the value of a characteristic value.;;;;
;;description;A narrative that explains what the characteristic is.;;;;
;;extensible;An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for an Entity.;;;;
;;ID;A unique identifier for the CompetitorIntelCharacteristic.;;;;
;;maxCardinality;The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.;;;;
;;minCardinality;The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.;;;;
